GI	V2	len	db	Plastic
SRR6028164_meg_contigs_1485_7	777	259	WP_118011433.1	PET
SRR6028229_meg_contigs_3010_1	777	259	WP_118011433.1	PET
SRR6028262_meg_contigs_10912_2	777	259	WP_118011433.1	PET
SRR6028295_meg_contigs_6062_2	777	259	WP_118011433.1	PET
SRR6028406_meg_contigs_2331_4	777	259	WP_118011433.1	PET
SRR6028436_meg_contigs_8034_2	777	259	WP_118011433.1	PET
SRR6028438_meg_contigs_7387_2	777	259	WP_118011433.1	PET
W10_SRR9852194_spa_contigs_341767_1	1119	373	tr|A0A1S6Q8F9|A0A1S6Q8F9_9XANT	NR
W10_SRR9852194_spa_contigs_524483_1	897	299	BAF98449.1	PEG
W11_SRR9852193_spa_contigs_3980_13	783	261	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W11_SRR9852193_spa_contigs_4938_4	861	287	00070||3HB_oligomer_hydrolase||Paracoccus_denitrificans||PHB_PHA	PHAs
W11_SRR9852193_spa_contigs_104461_1	1230	410	BAO20806.1	PHAs
W11_SRR9852193_spa_contigs_546236_1	480	160	WP_101893509.1	PET
W14_SRR5570991_spa_contigs_3390_5	633	211	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
W14_SRR5570991_spa_contigs_13011_3	1098	366	BAE47085.1	TP
W14_SRR5570991_spa_contigs_24022_1	465	155	BAE47078.1	TP
W14_SRR5570991_spa_contigs_120348_1	564	188	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
W14_SRR5570991_spa_contigs_120348_1	564	188	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
W14_SRR5570991_spa_contigs_120348_1	564	188	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
W14_SRR5570991_spa_contigs_120348_1	564	188	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
W14_SRR5570991_spa_contigs_274234_1	360	120	tr|W6R2Y2|W6R2Y2_PSEP5	PET
W14_SRR5570991_spa_contigs_274234_1	360	120	tr|W6R2Y2|W6R2Y2_PSEP5	PBAT
W14_SRR5570992_spa_contigs_21860_1	1215	405	AAD03558.1	PAE
W17_N1_SRR2107218_spa_contigs_244063_1	444	148	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
W17_N1_SRR2107219_spa_contigs_162206_1	528	176	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W19_spa_contigs_262929_1	636	212	BAD95542.3	PVA
W19_spa_contigs_331515_1	555	185	AKJ87216.1	PLA
W1_1402_spa_contigs_239404_1	696	232	AAD03558.1	PAE
W1_1412_spa_contigs_117669_1	570	190	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W1_1503_spa_contigs_433376_1	753	251	WP_058088494.1	PET
W1_1504_spa_contigs_470450_1	666	222	AAD03558.1	PAE
W1_1511_spa_contigs_105742_1	1128	376	AAD03558.1	PAE
W1_1512_spa_contigs_640334_1	492	164	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W2_1403_spa_contigs_414202_1	705	235	AAD03558.1	PAE
W2_1406_spa_contigs_112866_1	1449	483	AAD03558.1	PAE
W2_1407_spa_contigs_1426859_1	483	161	AOA73724.1	PVA
W2_1412_spa_contigs_751468_1	477	159	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
W2_1412_spa_contigs_751468_1	477	159	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
W2_1412_spa_contigs_751468_1	477	159	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
W2_1412_spa_contigs_751468_1	477	159	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
W2_1502_spa_contigs_149729_2	747	249	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W2_1511_spa_contigs_826281_1	579	193	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W3_ERR712369_spa_contigs_255263_1	543	181	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W3_ERR712370_spa_contigs_44079_2	474	158	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W3_ERR712371_spa_contigs_14267_1	1608	536	BAF98451.1	PEG
W3_ERR712371_spa_contigs_56373_1	975	325	AKJ87216.1	PLA
W3_ERR712371_spa_contigs_404078_2	1056	352	BAA35137.1	PHAs
W3_ERR712371_spa_contigs_404078_2	1056	352	BAA35137.1	PPL
W3_ERR712371_spa_contigs_1972458_1	489	163	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W3_ERR712371_spa_contigs_2403021_1	423	141	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W3_ERR712371_spa_contigs_2640426_1	390	130	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
